location,mean,count
 ('Rated 3.0',93.96938775510205,49
 ('Rated 4.0',51.36764705882353,136
 ('Rated 5.0',21.766666666666666,114
 ('Rated 4.5',20.735294117647058,17
 ('Rated 2.0',13.058823529411764,17
 ('Rated 1.0',12.620689655172415,29
 ('Rated 3.5',8.214285714285714,14
Unknown,4.571428571428571,7
Lavelle Road,4.170538243626062,353
St. Marks Road,4.054260089686099,223
Koramangala 3rd Block,4.051612903225807,124
Koramangala 5th Block,4.0397869674185465,1596
Church Street,4.02133676092545,389
Sankey Road,4.005,20
Koramangala 4th Block,3.946127366609294,581
Cunningham Road,3.944043321299639,277
MG Road,3.9329501915708813,522
Residency Road,3.9219211822660096,406
Koramangala 7th Block,3.905982905982906,702
Richmond Road,3.8892655367231637,354
Sadashiv Nagar,3.8563636363636364,55
Race Course Road,3.8364583333333333,96
Koramangala,3.835294117647059,17
Koramangala 6th Block,3.8294814814814817,675
Indiranagar,3.825221238938053,1582
Jayanagar,3.808746846089151,1189
Malleshwaram,3.7959514170040487,494
Ulsoor,3.7950000000000004,520
Hosur Road,3.7937499999999997,48
Langford Town,3.775,16
Koramangala 2nd Block,3.772727272727273,44
Kalyan Nagar,3.7720841300191204,523
Koramangala 8th Block,3.763309352517986,139
Infantry Road,3.762337662337662,77
Seshadripuram,3.7509999999999994,100
Brigade Road,3.74468085106383,658
Koramangala 1st Block,3.7289908256880735,545
JP Nagar,3.7229440789473687,1216
Kengeri,3.72,5
Vasanth Nagar,3.7187134502923977,171
HSR,3.6928937259923176,1562
New BEL Road,3.6826576576576575,444
Basavanagudi,3.6764150943396223,424
Kammanahalli,3.6761904761904765,357
HBR Layout,3.670666666666667,75
Banashankari,3.6650579150579152,518
Basaveshwara Nagar,3.661290322580645,124
Mysore Road,3.65625,16
Sarjapur Road,3.6522756827048113,769
Frazer Town,3.652224824355972,427
Old Airport Road,3.645614035087719,342
Yelahanka,3.6399999999999997,5
Sahakara Nagar,3.6333333333333333,45
Rajajinagar,3.6247282608695657,368
Commercial Street,3.624675324675325,154
Central Bangalore,3.62,5
BTM,3.607975460122699,2445
Whitefield,3.603778677462888,1482
Hebbal,3.6,8
Vijay Nagar,3.5951612903225807,62
Brookefield,3.5945205479452054,511
"Varthur Main Road, Whitefield",3.591463414634146,82
City Market,3.585714285714286,56
Jeevan Bhima Nagar,3.579338842975207,242
"ITPL Main Road, Whitefield",3.5756410256410254,78
Domlur,3.552395209580838,334
Shivajinagar,3.5426356589147288,129
KR Puram,3.54,10
Thippasandra,3.5372093023255813,129
Bannerghatta Road,3.533883388338834,909
Marathahalli,3.53298969072165,1358
Shanti Nagar,3.5324786324786324,234
Bellandur,3.5263269639065817,942
Wilson Garden,3.523140495867769,121
Kaggadasapura,3.522222222222222,72
Hennur,3.5174418604651163,86
Uttarahalli,3.511111111111111,9
Sanjay Nagar,3.5085106382978726,47
Majestic,3.50561797752809,89
Banaswadi,3.5032967032967033,364
Electronic City,3.49064039408867,812
Nagawara,3.487719298245614,114
Yeshwantpur,3.4875,88
Jalahalli,3.4869565217391307,23
South Bangalore,3.4809523809523806,42
Ejipura,3.480769230769231,156
Kanakapura Road,3.478947368421052,19
CV Raman Nagar,3.475,60
East Bangalore,3.472,25
Kumaraswamy Layout,3.4683333333333333,120
RT Nagar,3.4490909090909088,55
Magadi Road,3.417391304347826,23
Rammurthy Nagar,3.384210526315789,19
North Bangalore,3.3000000000000003,7
 'RATED\n  good'),3.2857142857142856,7
Old Madras Road,3.2299999999999995,20
Bommanahalli,3.196747967479675,123
