cuisines,mean,count
('Rated 4.0',39.074675324675326,154
('Rated 5.0',37.05072463768116,138
('Rated 3.0',30.16,75
('Rated 2.0',22.23076923076923,26
('Rated 3.5',16.325,20
('Rated 4.5',9.157894736842104,19
('Rated 1.0',7.7727272727272725,33
Cantonese,4.6,6
African,4.507142857142857,14
Singaporean,4.405555555555555,36
Modern Indian,4.32962962962963,108
Jewish,4.3,5
Vegan,4.3,5
Malaysian,4.296052631578948,76
Sri Lankan,4.292307692307693,13
German,4.283333333333333,6
Japanese,4.2579399141630905,233
Portuguese,4.24,10
Mediterranean,4.231043256997455,393
Korean,4.179047619047619,105
European,4.178957528957529,518
Burmese,4.157894736842105,38
Konkan,4.15625,64
Sushi,4.148571428571429,35
Asian,4.144835164835165,910
Spanish,4.144444444444444,36
Parsi,4.122222222222223,18
Naga,4.1000000000000005,19
South American,4.1,8
Steak,4.096235294117647,425
Indonesian,4.0917808219178085,73
BBQ,4.0777777777777775,540
Goan,4.075280898876405,89
American,4.0725,1000
Salad,4.067268351383875,831
French,4.058928571428572,56
Wraps,4.056410256410256,39
Turkish,4.0371428571428565,70
Awadhi,4.0,17
Finger Food,3.995035460992908,846
North Eastern,3.9923076923076923,26
Vietnamese,3.991603053435114,131
Greek,3.983333333333333,24
Mexican,3.9827493261455524,371
Continental,3.978407934893184,3932
Bar Food,3.9777777777777774,18
Thai,3.9712309820193634,723
Italian,3.9608807182556647,2339
Afghan,3.959090909090909,44
Nepalese,3.951724137931034,58
Bubble Tea,3.9499999999999997,8
Coffee,3.940697674418604,86
Assamese,3.933333333333333,21
Healthy Food,3.930508474576271,531
Rajasthani,3.927350427350427,117
Middle Eastern,3.9257142857142857,70
Burger,3.9167026637868974,1389
Cafe,3.9085137085137087,3465
Iranian,3.905263157894737,19
Tex-Mex,3.9048780487804877,41
Pizza,3.8985845718329792,1413
Desserts,3.871800177357375,3383
Ice Cream,3.853492647058824,1088
Unknown,3.8466666666666667,30
Momos,3.8261660978384526,879
Gujarati,3.8242857142857143,70
Beverages,3.819687277896233,2814
Lebanese,3.813333333333333,120
Lucknowi,3.8051282051282054,39
Seafood,3.803896103896104,1309
Afghani,3.8000000000000003,7
Mongolian,3.8,5
Sandwich,3.799812734082397,534
Mangalorean,3.7884453781512604,476
Bihari,3.7837837837837838,37
Grill,3.7588235294117647,17
Maharashtrian,3.756976744186047,86
Mughlai,3.7381170018281535,1094
Tea,3.7327188940092166,217
Tibetan,3.7215962441314554,213
Chettinad,3.7012987012987013,154
Kebab,3.678702163061564,601
Juices,3.675897435897436,585
Bakery,3.673489932885906,1490
North Indian,3.649892753179102,13054
Tamil,3.6399999999999997,5
Mithai,3.6328358208955223,603
Street Food,3.6303592814371255,1670
Bengali,3.626546391752577,388
Arabian,3.6246376811594203,690
Chinese,3.621335238873009,9796
Kerala,3.6183020948180817,907
South Indian,3.6179411141707263,4721
Andhra,3.6164906580016245,1231
Fast Food,3.6153597587246877,4642
Bohri,3.5833333333333335,6
Roast Chicken,3.5785714285714287,14
Biryani,3.572066616199849,3963
Oriya,3.556179775280899,89
Rolls,3.542660550458715,872
Charcoal Chicken,3.5153846153846158,52
Hyderabadi,3.5096618357487923,207
Kashmiri,3.4266666666666667,15
