location,cuisines,votes
Sarjapur Road,"Continental, North Indian, Italian, South Indian, Finger Food",16832.0
Sarjapur Road,"Continental, North Indian, Italian, South Indian, Finger Food",16345.0
Sarjapur Road,"Continental, North Indian, Italian, South Indian, Finger Food",16345.0
Indiranagar,"Italian, American, Pizza",14956.0
Indiranagar,"Italian, American, Pizza",14956.0
Koramangala 5th Block,"Cafe, American, Burger, Steak",14726.0
Koramangala 5th Block,"Cafe, American, Burger, Steak",14723.0
Koramangala 5th Block,"Cafe, American, Burger, Steak",14717.0
Koramangala 5th Block,"Cafe, American, Burger, Steak",14710.0
Koramangala 5th Block,"Cafe, American, Burger, Steak",14704.0
Koramangala 5th Block,"Cafe, American, Burger, Steak",14694.0
Koramangala 5th Block,"Cafe, American, Burger, Steak",14690.0
Koramangala 5th Block,"Cafe, American, Burger, Steak",14654.0
Koramangala 5th Block,"Cafe, American, Burger, Steak",14654.0
Koramangala 5th Block,"Cafe, American, Burger, Steak",14654.0
Marathahalli,"European, Mediterranean, North Indian, BBQ",12121.0
Koramangala 5th Block,"North Indian, European, Mediterranean",10550.0
Koramangala 5th Block,"North Indian, European, Mediterranean",10547.0
Koramangala 5th Block,"North Indian, European, Mediterranean",10541.0
Koramangala 5th Block,"North Indian, European, Mediterranean",10530.0
