Feature,Importance
numerical__Credit_History,1.2647720709829622
categorical__Property_Area_Semiurban,0.4856546061945343
categorical__Property_Area_Rural,0.35723855108213387
categorical__Dependents_2,0.27641238516549027
categorical__Dependents_1,0.22614397483250387
numerical__LoanAmount,0.18581479010977425
categorical__Dependents_0,0.18255284087471252
categorical__Education_Graduate,0.17615340945766766
categorical__Education_Not Graduate,0.17555951276886558
numerical__ApplicantIncome,0.14448717033636016
categorical__Married_Yes,0.14319821969974403
categorical__Married_No,0.14260432301093934
categorical__Dependents_3+,0.13287832723052503
categorical__Property_Area_Urban,0.12782215842360026
categorical__Gender_Female,0.07423617991137892
categorical__Gender_Male,0.07364228322257554
numerical__CoapplicantIncome,0.03698388792853399
categorical__Self_Employed_No,0.025427288169239948
categorical__Self_Employed_Yes,0.024833391480436753
numerical__Loan_Amount_Term,0.015255600985899788
